row_id,order_id,order_date_id,ship_date_id,product_id,customer_id,postalcode,shipmode_id,sales,quantity
21,CA-2015-143336,2015-08-27,2015-09-01,OFF-BI-10002215,ZD-21925,94109,3,22.72,2
22,CA-2017-137330,2017-12-09,2017-12-13,OFF-AR-10000246,KB-16585,68025,4,19.46,4
23,CA-2017-137330,2017-12-09,2017-12-13,OFF-AP-10001492,KB-16585,68025,4,60.34,8
24,US-2018-156909,2018-07-16,2018-07-18,FUR-CH-10002774,SF-20065,19140,3,71.372,2
25,CA-2016-106320,2016-09-25,2016-09-30,FUR-TA-10000577,EB-13870,84057,4,1044.63,6
26,CA-2017-121755,2017-01-16,2017-01-20,OFF-BI-10001634,EH-13945,90049,3,11.648,3
27,CA-2017-121755,2017-01-16,2017-01-20,TEC-AC-10003027,EH-13945,90049,3,90.57,1
28,US-2016-150630,2016-09-17,2016-09-21,FUR-BO-10004834,TB-21520,19140,4,3083.43,3
29,US-2016-150630,2016-09-17,2016-09-21,OFF-BI-10000474,TB-21520,19140,4,9.618,1
30,US-2016-150630,2016-09-17,2016-09-21,FUR-FU-10004848,TB-21520,19140,4,124.2,7
31,US-2016-150630,2016-09-17,2016-09-21,OFF-EN-10001509,TB-21520,19140,4,3.264,2
32,US-2016-150630,2016-09-17,2016-09-21,OFF-AR-10004042,TB-21520,19140,4,86.304,3
33,US-2016-150630,2016-09-17,2016-09-21,OFF-BI-10001525,TB-21520,19140,4,6.858,5
34,US-2016-150630,2016-09-17,2016-09-21,OFF-AR-10001683,TB-21520,19140,4,15.76,2
35,CA-2018-107727,2018-10-19,2018-10-23,OFF-PA-10000249,MA-17560,77095,3,29.472,2
36,CA-2017-117590,2017-12-08,2017-12-10,TEC-PH-10004977,GH-14485,75080,1,1097.544,5
37,CA-2017-117590,2017-12-08,2017-12-10,FUR-FU-10003664,GH-14485,75080,1,190.92,1
38,CA-2016-117415,2016-12-27,2016-12-31,OFF-EN-10002986,SN-20710,77041,4,113.328,2
39,CA-2016-117415,2016-12-27,2016-12-31,FUR-BO-10002545,SN-20710,77041,4,532.3992,2
40,CA-2016-117415,2016-12-27,2016-12-31,FUR-CH-10004218,SN-20710,77041,4,212.058,3
41,CA-2016-117415,2016-12-27,2016-12-31,TEC-PH-10000486,SN-20710,77041,4,371.168,1
42,CA-2018-120999,2018-09-10,2018-09-15,TEC-PH-10004093,LC-16930,60540,4,147.168,4
43,CA-2017-101343,2017-07-17,2017-07-22,OFF-ST-10003479,RA-19885,90049,4,77.88,1
44,CA-2018-139619,2018-09-19,2018-09-23,OFF-ST-10003282,ES-14080,32935,4,95.616,2
45,CA-2017-118255,2017-03-11,2017-03-13,TEC-AC-10000171,ON-18715,55122,1,45.98,3
46,CA-2017-118255,2017-03-11,2017-03-13,OFF-BI-10003291,ON-18715,55122,1,17.46,4
47,CA-2015-146703,2015-10-20,2015-10-25,OFF-ST-10001713,PO-18865,48185,3,211.96,3
48,CA-2017-169194,2017-06-20,2017-06-25,TEC-AC-10002167,LH-16900,19901,4,45.0,2
49,CA-2017-169194,2017-06-20,2017-06-25,TEC-PH-10003988,LH-16900,19901,4,21.8,2
50,CA-2016-115742,2016-04-18,2016-04-22,OFF-BI-10004410,DP-13000,47150,4,38.22,5
51,CA-2016-115742,2016-04-18,2016-04-22,OFF-LA-10002762,DP-13000,47150,4,75.18,4
52,CA-2016-115742,2016-04-18,2016-04-22,FUR-FU-10001706,DP-13000,47150,4,6.16,2
53,CA-2016-115742,2016-04-18,2016-04-22,FUR-CH-10003061,DP-13000,47150,4,89.99,2
54,CA-2017-105816,2017-12-11,2017-12-17,OFF-FA-10000304,JM-15265,10024,4,15.26,4
55,CA-2017-105816,2017-12-11,2017-12-17,TEC-PH-10002447,JM-15265,10024,4,1029.95,7
56,CA-2017-111682,2017-06-17,2017-06-18,OFF-ST-10000604,TB-21055,12180,1,208.56,3
57,CA-2017-111682,2017-06-17,2017-06-18,OFF-PA-10001569,TB-21055,12180,1,32.4,5
58,CA-2017-111682,2017-06-17,2017-06-18,FUR-CH-10003968,TB-21055,12180,1,319.41,3
59,CA-2017-111682,2017-06-17,2017-06-18,OFF-PA-10000587,TB-21055,12180,1,14.56,2
60,CA-2017-111682,2017-06-17,2017-06-18,TEC-AC-10002167,TB-21055,12180,1,30.0,2
61,CA-2017-111682,2017-06-17,2017-06-18,OFF-BI-10001460,TB-21055,12180,1,48.48,3
62,CA-2017-111682,2017-06-17,2017-06-18,OFF-AR-10001868,TB-21055,12180,1,1.68,2
63,CA-2016-135545,2016-11-24,2016-11-30,TEC-AC-10004633,KM-16720,90004,4,13.98,1
64,CA-2016-135545,2016-11-24,2016-11-30,OFF-BI-10001078,KM-16720,90004,4,25.824,6
65,CA-2016-135545,2016-11-24,2016-11-30,OFF-PA-10003892,KM-16720,90004,4,146.73,2
66,CA-2016-135545,2016-11-24,2016-11-30,FUR-FU-10000397,KM-16720,90004,4,79.76,2
67,US-2016-164175,2016-04-30,2016-05-05,FUR-CH-10001146,PS-18970,60610,4,213.115,4
68,CA-2015-106376,2015-12-05,2015-12-10,OFF-AR-10002671,BS-11590,85234,4,1113.024,1
69,CA-2015-106376,2015-12-05,2015-12-10,TEC-PH-10002726,BS-11590,85234,4,167.968,2
70,CA-2017-119823,2017-06-04,2017-06-06,OFF-PA-10000482,KD-16270,22153,1,75.88,1
71,CA-2017-106075,2017-09-18,2017-09-23,OFF-BI-10004654,HM-14980,10009,4,4.616,2
72,CA-2018-114440,2018-09-14,2018-09-17,OFF-PA-10004675,TB-21520,49201,3,19.05,4
73,US-2016-134026,2016-04-26,2016-05-02,FUR-CH-10000513,JE-15745,38109,4,831.936,5
74,US-2016-134026,2016-04-26,2016-05-02,FUR-FU-10003708,JE-15745,38109,4,97.04,2
75,US-2016-134026,2016-04-26,2016-05-02,OFF-ST-10004123,JE-15745,38109,4,72.784,1
76,US-2018-118038,2018-12-09,2018-12-11,OFF-BI-10004182,KB-16600,77041,1,1.248,1
77,US-2018-118038,2018-12-09,2018-12-11,FUR-FU-10000260,KB-16600,77041,1,9.708,1
78,US-2018-118038,2018-12-09,2018-12-11,OFF-ST-10000615,KB-16600,77041,1,27.24,2
79,US-2015-147606,2015-11-26,2015-12-01,FUR-FU-10003194,JE-15745,77070,3,19.3,1
80,CA-2017-127208,2017-06-12,2017-06-15,OFF-AP-10002118,SC-20770,35601,1,208.16,1
81,CA-2017-127208,2017-06-12,2017-06-15,OFF-BI-10002309,SC-20770,35601,1,16.74,2
82,CA-2015-139451,2015-10-12,2015-10-16,OFF-AR-10002053,DN-13690,94122,4,14.9,4
83,CA-2015-139451,2015-10-12,2015-10-16,OFF-ST-10002370,DN-13690,94122,4,21.39,1
84,CA-2016-149734,2016-09-03,2016-09-08,OFF-EN-10000927,JC-16105,27707,4,200.984,6
85,US-2018-119662,2018-11-13,2018-11-16,OFF-ST-10003656,CS-12400,60623,1,230.376,3
86,CA-2018-140088,2018-05-28,2018-05-30,FUR-CH-10000863,PO-18865,29203,3,301.96,3
87,CA-2018-155558,2018-10-26,2018-11-02,TEC-AC-10001998,PG-18895,55901,4,19.99,1
88,CA-2018-155558,2018-10-26,2018-11-02,OFF-LA-10000134,PG-18895,55901,4,6.16,2
89,CA-2017-159695,2017-04-05,2017-04-10,OFF-ST-10003442,GM-14455,77095,3,158.368,4
90,CA-2017-109806,2017-09-17,2017-09-22,OFF-AR-10004930,JS-15685,90036,4,20.1,3
91,CA-2017-109806,2017-09-17,2017-09-22,TEC-PH-10004093,JS-15685,90036,4,73.584,2
92,CA-2017-109806,2017-09-17,2017-09-22,OFF-PA-10000304,JS-15685,90036,4,6.48,1
93,CA-2016-149587,2016-01-31,2016-02-05,OFF-PA-10003177,KB-16315,55407,3,12.96,1
94,CA-2016-149587,2016-01-31,2016-02-05,FUR-FU-10003799,KB-16315,55407,3,53.34,4
95,CA-2016-149587,2016-01-31,2016-02-05,OFF-BI-10002852,KB-16315,55407,3,32.96,4
96,US-2018-109484,2018-11-06,2018-11-12,OFF-BI-10004738,RB-19705,97206,4,5.682,1
97,CA-2018-161018,2018-11-09,2018-11-11,FUR-FU-10000629,PN-18775,10009,3,96.53,9
98,CA-2018-157833,2018-06-17,2018-06-20,OFF-BI-10001721,KD-16345,94122,1,51.312,6
99,CA-2017-149223,2017-09-06,2017-09-11,OFF-AP-10000358,ER-13855,55106,4,77.88,6
100,CA-2017-158568,2017-08-29,2017-09-02,OFF-PA-10003256,RB-19465,60610,4,64.624,6
101,CA-2017-158568,2017-08-29,2017-09-02,TEC-AC-10001767,RB-19465,60610,4,95.976,1
102,CA-2017-158568,2017-08-29,2017-09-02,OFF-BI-10002609,RB-19465,60610,4,1.788,2
103,CA-2017-129903,2017-12-01,2017-12-04,OFF-PA-10004040,GZ-14470,55901,3,23.92,2
104,US-2016-156867,2016-11-13,2016-11-17,TEC-AC-10001552,LC-16870,80013,4,238.896,3
105,US-2016-156867,2016-11-13,2016-11-17,FUR-FU-10004006,LC-16870,80013,4,102.36,2
106,US-2016-156867,2016-11-13,2016-11-17,OFF-BI-10002794,LC-16870,80013,4,36.882,3
107,CA-2018-119004,2018-11-23,2018-11-28,TEC-AC-10003499,JM-15250,28205,4,74.112,4
108,CA-2018-119004,2018-11-23,2018-11-28,TEC-PH-10002844,JM-15250,28205,4,27.992,1
109,CA-2018-119004,2018-11-23,2018-11-28,OFF-AR-10000390,JM-15250,28205,4,3.304,1
110,CA-2016-129476,2016-10-15,2016-10-20,TEC-AC-10000844,PA-19060,60462,4,339.96,4
111,CA-2018-146780,2018-12-25,2018-12-30,FUR-FU-10001934,CV-12805,10035,4,41.96,1
112,CA-2017-128867,2017-11-03,2017-11-10,OFF-AR-10000380,CL-12565,50322,4,75.96,3
113,CA-2017-128867,2017-11-03,2017-11-10,OFF-BI-10003981,CL-12565,50322,4,27.24,10
114,CA-2015-115259,2015-08-25,2015-08-27,OFF-FA-10000621,RC-19960,43229,3,40.096,4
115,CA-2015-115259,2015-08-25,2015-08-27,OFF-EN-10002600,RC-19960,43229,3,4.72,1
116,CA-2015-115259,2015-08-25,2015-08-27,OFF-PA-10004965,RC-19960,43229,3,23.976,2
117,CA-2015-115259,2015-08-25,2015-08-27,OFF-EN-10002504,RC-19960,43229,3,130.464,6
118,CA-2016-110457,2016-03-02,2016-03-06,FUR-TA-10001768,DK-13090,98103,4,787.53,4
119,US-2016-136476,2016-04-05,2016-04-10,OFF-BI-10003650,GG-14650,37620,4,157.794,1
120,CA-2017-103730,2017-06-12,2017-06-15,FUR-FU-10002157,SC-20725,19805,1,47.04,1
121,CA-2017-103730,2017-06-12,2017-06-15,OFF-BI-10003910,SC-20725,19805,1,30.84,14
122,CA-2017-103730,2017-06-12,2017-06-15,OFF-ST-10000777,SC-20725,19805,1,226.56,6
123,CA-2017-103730,2017-06-12,2017-06-15,OFF-EN-10002500,SC-20725,19805,1,115.02,9
124,CA-2017-103730,2017-06-12,2017-06-15,TEC-PH-10003875,SC-20725,19805,1,68.04,3
125,US-2015-152030,2015-12-26,2015-12-28,FUR-CH-10004063,AD-10180,77041,3,600.558,2
126,US-2015-134614,2015-09-20,2015-09-25,FUR-TA-10004534,PF-19165,61701,4,617.7,2
127,US-2018-107272,2018-11-05,2018-11-12,OFF-BI-10003274,TS-21610,85023,4,2.388,2
128,US-2018-107272,2018-11-05,2018-11-12,OFF-ST-10002974,TS-21610,85023,4,243.992,6
129,US-2017-125969,2017-11-06,2017-11-10,FUR-CH-10001146,LS-16975,90004,3,81.424,2
130,US-2017-125969,2017-11-06,2017-11-10,FUR-FU-10003773,LS-16975,90004,3,238.56,2
131,US-2018-164147,2018-02-02,2018-02-05,TEC-PH-10002293,DW-13585,43229,1,59.97,3
132,US-2018-164147,2018-02-02,2018-02-05,OFF-PA-10002377,DW-13585,43229,1,78.304,5
133,US-2018-164147,2018-02-02,2018-02-05,OFF-FA-10002780,DW-13585,43229,1,21.456,3
134,CA-2017-145583,2017-10-13,2017-10-19,OFF-PA-10001804,LC-16885,95661,4,20.04,4
135,CA-2017-145583,2017-10-13,2017-10-19,OFF-PA-10001736,LC-16885,95661,4,35.44,1
136,CA-2017-145583,2017-10-13,2017-10-19,OFF-AR-10001149,LC-16885,95661,4,11.52,3
137,CA-2017-145583,2017-10-13,2017-10-19,OFF-FA-10002988,LC-16885,95661,4,4.02,1
138,CA-2017-145583,2017-10-13,2017-10-19,OFF-BI-10004781,LC-16885,95661,4,76.176,8
139,CA-2017-145583,2017-10-13,2017-10-19,OFF-SU-10001218,LC-16885,95661,4,65.88,3
140,CA-2017-145583,2017-10-13,2017-10-19,FUR-FU-10001706,LC-16885,95661,4,43.12,9
141,CA-2017-110366,2017-09-05,2017-09-07,FUR-FU-10004848,JD-15895,19140,3,82.8,5
142,CA-2018-106180,2018-09-18,2018-09-23,OFF-AR-10000940,SH-19975,94122,4,8.82,3
143,CA-2018-106180,2018-09-18,2018-09-23,OFF-EN-10004030,SH-19975,94122,4,10.86,4
144,CA-2018-106180,2018-09-18,2018-09-23,OFF-PA-10004327,SH-19975,94122,4,143.7,3
145,CA-2018-155376,2018-12-22,2018-12-27,OFF-AP-10001058,SG-20080,64055,4,839.43,2
146,CA-2016-110744,2016-09-07,2016-09-12,OFF-ST-10003656,HA-14920,91104,4,671.93,9
147,CA-2015-110072,2015-10-22,2015-10-28,FUR-FU-10000521,MG-17680,43055,4,93.888,2
148,CA-2017-114489,2017-12-05,2017-12-09,TEC-PH-10000215,JE-16165,53132,4,384.45,6
149,CA-2017-114489,2017-12-05,2017-12-09,TEC-PH-10001448,JE-16165,53132,4,149.97,4
150,CA-2017-114489,2017-12-05,2017-12-09,FUR-CH-10000454,JE-16165,53132,4,1951.84,12
151,CA-2017-114489,2017-12-05,2017-12-09,OFF-BI-10002735,JE-16165,53132,4,171.55,4
152,CA-2017-158834,2017-03-13,2017-03-16,OFF-AP-10000326,TW-21025,85254,1,157.92,1
153,CA-2017-158834,2017-03-13,2017-03-16,TEC-PH-10001254,TW-21025,85254,1,203.184,1
154,CA-2016-124919,2016-05-31,2016-06-02,OFF-PA-10001950,SP-20650,95123,1,58.38,3
155,CA-2016-124919,2016-05-31,2016-06-02,OFF-PA-10002254,SP-20650,95123,1,105.52,4
156,CA-2016-124919,2016-05-31,2016-06-02,OFF-ST-10001590,SP-20650,95123,1,80.88,8
157,CA-2016-118948,2016-05-28,2016-06-03,OFF-AR-10001547,NK-18490,98105,4,6.63,3
158,CA-2015-104269,2015-03-01,2015-03-06,FUR-CH-10004063,DB-13060,98115,3,457.568,1
159,CA-2017-114104,2017-11-20,2017-11-24,OFF-LA-10002475,NP-18670,73034,4,14.62,2
160,CA-2017-114104,2017-11-20,2017-11-24,TEC-PH-10004536,NP-18670,73034,4,944.93,4
161,CA-2017-162733,2017-05-11,2017-05-12,OFF-PA-10002751,TT-21070,90045,1,5.98,1
162,CA-2016-119697,2016-12-28,2016-12-31,TEC-AC-10003657,EM-13960,19134,3,54.384,1
163,CA-2017-154508,2017-11-16,2017-11-20,OFF-EN-10001990,RD-19900,88220,4,28.4,3
164,CA-2017-113817,2017-11-07,2017-11-11,OFF-BI-10004002,MJ-17740,98115,4,27.68,3
165,CA-2015-139892,2015-09-08,2015-09-12,OFF-AR-10004441,BM-11140,78207,4,9.936,2
166,CA-2015-139892,2015-09-08,2015-09-12,TEC-MA-10000822,BM-11140,78207,4,8159.952,4
167,CA-2015-139892,2015-09-08,2015-09-12,OFF-ST-10000991,BM-11140,78207,4,275.928,2
168,CA-2015-139892,2015-09-08,2015-09-12,FUR-CH-10004287,BM-11140,78207,4,1740.06,8
169,CA-2015-139892,2015-09-08,2015-09-12,OFF-AR-10002656,BM-11140,78207,4,32.064,3
170,CA-2015-139892,2015-09-08,2015-09-12,OFF-AP-10002518,BM-11140,78207,4,177.98,1
171,CA-2015-139892,2015-09-08,2015-09-12,TEC-PH-10003931,BM-11140,78207,4,143.976,2
172,CA-2015-118962,2015-08-05,2015-08-09,OFF-PA-10000659,CS-12130,90004,4,20.94,2
173,CA-2015-118962,2015-08-05,2015-08-09,OFF-PA-10001144,CS-12130,90004,4,110.96,1
174,CA-2015-118962,2015-08-05,2015-08-09,FUR-CH-10003817,CS-12130,90004,4,340.144,6
175,US-2015-100853,2015-09-14,2015-09-19,OFF-AP-10000891,JB-15400,60623,4,52.448,1
176,US-2015-100853,2015-09-14,2015-09-19,OFF-LA-10003148,JB-15400,60623,4,20.16,2
177,US-2018-152366,2018-04-21,2018-04-25,OFF-AP-10002684,SJ-20500,77036,3,97.264,2
178,US-2016-101511,2016-11-21,2016-11-23,FUR-CH-10004698,JE-15745,43055,3,396.802,7
179,US-2016-101511,2016-11-21,2016-11-23,OFF-SU-10002189,JE-15745,43055,3,15.88,2
180,CA-2016-137225,2016-12-15,2016-12-19,OFF-AR-10001940,JK-15640,10009,4,3.28,1
181,CA-2015-166191,2015-12-05,2015-12-09,OFF-ST-10003455,DK-13150,62521,3,24.816,1
182,CA-2015-166191,2015-12-05,2015-12-09,TEC-AC-10004659,DK-13150,62521,3,408.744,4
183,CA-2015-158274,2015-11-19,2015-11-24,TEC-PH-10003273,RM-19675,71203,3,503.96,2
184,CA-2015-158274,2015-11-19,2015-11-24,TEC-PH-10004896,RM-19675,71203,3,149.95,3
185,CA-2015-158274,2015-11-19,2015-11-24,TEC-AC-10002345,RM-19675,71203,3,29.0,2
186,CA-2017-105018,2017-11-28,2017-12-02,OFF-BI-10001890,SK-19990,06824,4,7.16,3
187,CA-2015-123260,2015-08-26,2015-08-30,TEC-AC-10002323,FM-14290,90032,4,176.8,5
188,CA-2017-157000,2017-07-16,2017-07-22,OFF-ST-10001328,AM-10360,75051,4,37.224,3
189,CA-2017-157000,2017-07-16,2017-07-22,OFF-PA-10001950,AM-10360,75051,4,20.016,1
190,CA-2016-102281,2016-10-12,2016-10-14,FUR-BO-10002613,MP-17470,10035,1,899.136,2
191,CA-2016-102281,2016-10-12,2016-10-14,TEC-PH-10001552,MP-17470,10035,1,71.76,4
192,CA-2016-102281,2016-10-12,2016-10-14,OFF-PA-10000061,MP-17470,10035,1,51.84,3
193,CA-2016-102281,2016-10-12,2016-10-14,FUR-BO-10002545,MP-17470,10035,1,626.352,2
194,CA-2016-102281,2016-10-12,2016-10-14,OFF-AR-10003514,MP-17470,10035,1,19.9,4
195,CA-2016-131457,2016-10-31,2016-11-06,OFF-EN-10001509,MZ-17515,92374,4,14.28,9
196,CA-2015-140004,2015-03-21,2015-03-25,OFF-AR-10004685,CB-12025,45011,4,7.408,1
197,CA-2015-140004,2015-03-21,2015-03-25,OFF-AR-10004027,CB-12025,45011,4,6.048,2
198,CA-2018-107720,2018-11-06,2018-11-13,OFF-ST-10001414,VM-21685,07090,4,46.26,1
199,US-2018-124303,2018-07-06,2018-07-13,OFF-BI-10000343,FH-14365,19120,4,2.946,2
200,US-2018-124303,2018-07-06,2018-07-13,OFF-PA-10002749,FH-14365,19120,4,16.056,1
201,CA-2018-105074,2018-06-24,2018-06-29,OFF-PA-10002666,MB-17305,44312,4,21.744,1
202,CA-2015-133690,2015-08-03,2015-08-05,FUR-TA-10004289,BS-11755,80219,1,218.75,1
203,CA-2015-133690,2015-08-03,2015-08-05,OFF-AP-10003622,BS-11755,80219,1,2.6,1
204,US-2018-116701,2018-12-17,2018-12-21,OFF-AP-10003217,LC-17140,75220,3,66.284,1
205,CA-2018-126382,2018-06-03,2018-06-07,FUR-FU-10002960,HK-14890,37064,4,35.168,3
206,CA-2018-108329,2018-12-09,2018-12-14,TEC-PH-10001918,LE-16810,90604,4,444.768,2
207,CA-2018-135860,2018-12-01,2018-12-07,OFF-ST-10000642,JH-15985,48601,4,83.92,2
208,CA-2018-135860,2018-12-01,2018-12-07,TEC-PH-10001700,JH-15985,48601,4,131.98,3
209,CA-2018-135860,2018-12-01,2018-12-07,OFF-BI-10003274,JH-15985,48601,4,15.92,10
210,CA-2018-135860,2018-12-01,2018-12-07,OFF-FA-10000134,JH-15985,48601,4,52.29,9
211,CA-2018-135860,2018-12-01,2018-12-07,OFF-ST-10001522,JH-15985,48601,4,91.99,1
212,CA-2016-101007,2016-02-09,2016-02-13,TEC-AC-10001266,MS-17980,75220,3,20.8,1
213,CA-2016-146262,2016-01-02,2016-01-09,OFF-LA-10004544,VW-21775,44256,4,23.68,1
214,CA-2016-146262,2016-01-02,2016-01-09,FUR-BO-10004695,VW-21775,44256,4,452.45,2
215,CA-2016-146262,2016-01-02,2016-01-09,TEC-PH-10002844,VW-21775,44256,4,62.982,3
216,CA-2016-146262,2016-01-02,2016-01-09,TEC-MA-10000864,VW-21775,44256,4,1188.0,1
217,CA-2016-146262,2016-01-02,2016-01-09,TEC-AC-10000109,VW-21775,44256,4,89.584,1
218,CA-2017-130162,2017-10-28,2017-11-01,OFF-ST-10001328,JH-15910,90032,4,93.06,6
219,CA-2017-130162,2017-10-28,2017-11-01,TEC-PH-10002563,JH-15910,90032,4,302.376,2
220,CA-2016-169397,2016-12-24,2016-12-27,OFF-FA-10000585,JB-15925,43017,1,5.584,1
221,CA-2016-169397,2016-12-24,2016-12-27,OFF-PA-10004000,JB-15925,43017,1,22.704,5
222,CA-2016-169397,2016-12-24,2016-12-27,OFF-BI-10002852,JB-15925,43017,1,19.776,2
223,CA-2016-169397,2016-12-24,2016-12-27,FUR-FU-10000087,JB-15925,43017,1,72.704,4
224,CA-2016-169397,2016-12-24,2016-12-27,TEC-MA-10001148,JB-15925,43017,1,479.988,2
225,CA-2016-169397,2016-12-24,2016-12-27,OFF-AR-10001958,JB-15925,43017,1,27.168,2
226,CA-2016-163055,2016-08-09,2016-08-16,OFF-AR-10001026,DS-13180,48227,4,2.2,1
227,CA-2016-163055,2016-08-09,2016-08-16,FUR-TA-10003748,DS-13180,48227,4,622.45,7
228,CA-2016-163055,2016-08-09,2016-08-16,OFF-ST-10002485,DS-13180,48227,4,21.98,1
229,US-2016-145436,2016-02-28,2016-03-04,FUR-CH-10004860,VD-21670,38401,4,161.568,3
230,US-2016-145436,2016-02-28,2016-03-04,FUR-CH-10004477,VD-21670,38401,4,389.696,8
231,US-2015-156216,2015-09-13,2015-09-17,OFF-BI-10001679,EA-14035,28205,4,18.648,4
232,US-2018-100930,2018-04-07,2018-04-12,FUR-TA-10001705,CS-12400,33614,4,233.86,1
233,US-2018-100930,2018-04-07,2018-04-12,FUR-TA-10003473,CS-12400,33614,4,620.6145,3
234,US-2018-100930,2018-04-07,2018-04-12,OFF-BI-10001679,CS-12400,33614,4,5.328,1
235,US-2018-100930,2018-04-07,2018-04-12,FUR-FU-10004017,CS-12400,33614,4,258.072,4
236,US-2018-100930,2018-04-07,2018-04-12,TEC-AC-10003832,CS-12400,33614,4,617.976,10
237,CA-2018-160514,2018-11-12,2018-11-16,OFF-PA-10002479,DB-13120,95051,4,10.56,2
238,CA-2017-157749,2017-06-04,2017-06-09,OFF-PA-10003349,KL-16645,60610,3,25.92,2
239,CA-2017-157749,2017-06-04,2017-06-09,FUR-FU-10000576,KL-16645,60610,3,419.68,2
240,CA-2017-157749,2017-06-04,2017-06-09,FUR-FU-10004351,KL-16645,60610,3,11.688,1
241,CA-2017-157749,2017-06-04,2017-06-09,TEC-PH-10000011,KL-16645,60610,3,31.984,1
242,CA-2017-157749,2017-06-04,2017-06-09,FUR-TA-10002607,KL-16645,60610,3,177.225,5
243,CA-2017-157749,2017-06-04,2017-06-09,FUR-FU-10002505,KL-16645,60610,3,4.044,1
244,CA-2017-157749,2017-06-04,2017-06-09,OFF-AR-10004685,KL-16645,60610,3,7.408,1
245,CA-2015-131926,2015-06-01,2015-06-06,FUR-CH-10004063,DW-13480,55044,3,2001.86,5
246,CA-2015-131926,2015-06-01,2015-06-06,OFF-ST-10002276,DW-13480,55044,3,166.72,3
247,CA-2015-131926,2015-06-01,2015-06-06,OFF-PA-10004082,DW-13480,55044,3,47.88,6
248,CA-2015-131926,2015-06-01,2015-06-06,OFF-AP-10002945,DW-13480,55044,3,1503.25,3
249,CA-2015-131926,2015-06-01,2015-06-06,OFF-PA-10000061,DW-13480,55044,3,25.92,2
250,CA-2017-154739,2017-12-10,2017-12-15,FUR-CH-10002965,LH-17155,94109,3,321.568,2
251,CA-2017-145625,2017-09-11,2017-09-17,OFF-PA-10004569,KC-16540,92037,4,7.61,1
252,CA-2017-145625,2017-09-11,2017-09-17,TEC-AC-10003832,KC-16540,92037,4,3347.37,51
253,CA-2017-146941,2017-12-10,2017-12-13,OFF-ST-10001228,DL-13315,10024,1,80.58,6
254,CA-2017-146941,2017-12-10,2017-12-13,OFF-EN-10003296,DL-13315,10024,1,361.92,2
255,US-2016-159982,2016-11-28,2016-12-04,FUR-FU-10002505,DR-12880,60623,4,12.132,3
256,US-2016-159982,2016-11-28,2016-12-04,OFF-ST-10004804,DR-12880,60623,4,82.368,1
257,US-2016-159982,2016-11-28,2016-12-04,OFF-ST-10001590,DR-12880,60623,4,53.92,5
258,US-2016-159982,2016-11-28,2016-12-04,TEC-PH-10001580,DR-12880,60623,4,647.904,6
259,CA-2018-163139,2018-12-01,2018-12-03,TEC-AC-10000290,CC-12670,10009,3,20.37,3
260,CA-2018-163139,2018-12-01,2018-12-03,OFF-ST-10002790,CC-12670,10009,3,221.55,4
261,CA-2018-163139,2018-12-01,2018-12-03,OFF-BI-10003460,CC-12670,10009,3,17.52,20
262,US-2018-155299,2018-06-08,2018-06-12,OFF-AP-10002203,Dl-13600,77506,4,1.624,1
